file,rows,columns,column_names,duplicate_rows,min_year,max_year,possible_targets,missing_total,error
Revenue/top_transaction_rto(2010-26)/EV_Top5_Transaction_State_RTO(2021-22).csv,172.0,3.0,State|RTO_or_State|EV_Transactions,0.0,,,EV_Transactions,0.0,
Revenue/top_transaction_rto(2010-26)/EV_Top5_Transaction_State_RTO(2022-23).csv,167.0,3.0,State|RTO_or_State|EV_Transactions,0.0,,,EV_Transactions,0.0,
Revenue/top_transaction_rto(2010-26)/EV_Top5_Transaction_State_RTO(2023-24).csv,175.0,3.0,State|RTO_or_State|EV_Transactions,0.0,,,EV_Transactions,0.0,
Revenue/top_transaction_rto(2010-26)/EV_Top5_Transaction_State_RTO(2024-25).csv,177.0,3.0,State|RTO_or_State|EV_Transactions,0.0,,,EV_Transactions,0.0,
Revenue/top_transaction_rto(2010-26)/EV_Top5_Transaction_State_RTO(2025-26).csv,177.0,3.0,State|RTO_or_State|EV_Transactions,0.0,,,EV_Transactions,0.0,
Revenue/Transaction_data(2010_2026)/EV_Transaction_Line_Chart(2010-11).csv,992.0,4.0,State|Year|Month|EV_Transactions,0.0,2010.0,2011.0,EV_Transactions,0.0,
Revenue/Transaction_data(2010_2026)/EV_Transaction_Line_Chart(2011-12).csv,1006.0,4.0,State|Year|Month|EV_Transactions,0.0,2011.0,2012.0,EV_Transactions,0.0,
Revenue/Transaction_data(2010_2026)/EV_Transaction_Line_Chart(2012-13).csv,999.0,4.0,State|Year|Month|EV_Transactions,0.0,2012.0,2013.0,EV_Transactions,0.0,
Revenue/Transaction_data(2010_2026)/EV_Transaction_Line_Chart(2013-14).csv,1032.0,4.0,State|Year|Month|EV_Transactions,0.0,2013.0,2014.0,EV_Transactions,0.0,
Revenue/Transaction_data(2010_2026)/EV_Transaction_Line_Chart(2014-15).csv,1046.0,4.0,State|Year|Month|EV_Transactions,0.0,2014.0,2015.0,EV_Transactions,0.0,
Revenue/Transaction_data(2010_2026)/EV_Transaction_Line_Chart(2015-16).csv,1132.0,4.0,State|Year|Month|EV_Transactions,0.0,2015.0,2016.0,EV_Transactions,0.0,
Revenue/Transaction_data(2010_2026)/EV_Transaction_Line_Chart(2016-17).csv,1297.0,4.0,State|Year|Month|EV_Transactions,0.0,2016.0,2017.0,EV_Transactions,0.0,
Revenue/Transaction_data(2010_2026)/EV_Transaction_Line_Chart(2017-18).csv,1514.0,4.0,State|Year|Month|EV_Transactions,0.0,2017.0,2018.0,EV_Transactions,0.0,
Revenue/Transaction_data(2010_2026)/EV_Transaction_Line_Chart(2018-19).csv,1634.0,4.0,State|Year|Month|EV_Transactions,0.0,2018.0,2019.0,EV_Transactions,0.0,
Revenue/Transaction_data(2010_2026)/EV_Transaction_Line_Chart(2019-20).csv,1660.0,4.0,State|Year|Month|EV_Transactions,0.0,2019.0,2020.0,EV_Transactions,0.0,
Revenue/Transaction_data(2010_2026)/EV_Transaction_Line_Chart(2020-21).csv,1673.0,4.0,State|Year|Month|EV_Transactions,0.0,2020.0,2021.0,EV_Transactions,0.0,
Revenue/Transaction_data(2010_2026)/EV_Transaction_Line_Chart(2021-22).csv,1697.0,4.0,State|Year|Month|EV_Transactions,0.0,2021.0,2022.0,EV_Transactions,0.0,
Revenue/Transaction_data(2010_2026)/EV_Transaction_Line_Chart(2022-23).csv,1721.0,4.0,State|Year|Month|EV_Transactions,0.0,2022.0,2023.0,EV_Transactions,0.0,
Revenue/Transaction_data(2010_2026)/EV_Transaction_Line_Chart(2023-24).csv,1742.0,4.0,State|Year|Month|EV_Transactions,0.0,2023.0,2024.0,EV_Transactions,0.0,
Revenue/Transaction_data(2010_2026)/EV_Transaction_Line_Chart(2024-25).csv,1766.0,4.0,State|Year|Month|EV_Transactions,0.0,2024.0,2025.0,EV_Transactions,0.0,
Revenue/Transaction_data(2010_2026)/EV_Transaction_Line_Chart(2025-26).csv,1480.0,4.0,State|Year|Month|EV_Transactions,0.0,2025.0,2026.0,EV_Transactions,0.0,
