Model,Target,MAE,RMSE,MAPE,R2,Approx_Accuracy_100_minus_MAPE,Training_Time
Naive,EV_Registrations,42195.55405405405,116297.02335773419,34.534361895986365,0.947105034378298,65.46563810401364,0.0
XGBoost,EV_Registrations,90685.19098129788,234778.36329095296,518.3465486096729,0.7844275375905836,0.0,0.18567919731140137
RandomForest,EV_Registrations,112418.77629189563,284020.4281436393,45.75129812842535,0.6845167568716468,54.24870187157465,0.49214649200439453
ARIMA,EV_Registrations,2830503.5953717134,3363585.260499961,21.28892151855679,-3.646161866930683,78.71107848144321,1.1600453853607178
CNN,EV_Registrations,4189368.565476894,4304756.266524116,30.2873670820277,-6.610033848826548,69.7126329179723,7.195777893066406
CNN-LSTM,EV_Registrations,5805051.642117818,6223661.484487034,39.76195659439427,-14.90674723008983,60.23804340560573,8.022729873657227
LSTM,EV_Registrations,6520138.650732994,6818572.746983031,44.929178481096855,-18.093098422707126,55.070821518903145,13.289178133010864
