State,VehicleType,Year,Registrations
TS,Transport,2023,603957.0
TS,Transport,2024,724614.0
TS,Transport,2025,839294.0
TS,Transport,2026,558347.0
UK,Non Transport,2011,29.0
UK,Non Transport,2012,48.0
UK,Non Transport,2013,25.0
UK,Non Transport,2014,9.0
UK,Non Transport,2015,15.0
UK,Non Transport,2016,1091.0
UK,Non Transport,2017,4012.0
UK,Non Transport,2018,4807.0
UK,Non Transport,2019,5622.0
UK,Non Transport,2020,2321.0
UK,Non Transport,2021,5233.0
UK,Non Transport,2022,15480.0
UK,Non Transport,2023,16774.0
UK,Non Transport,2024,20221.0
UK,Non Transport,2025,20954.0
UK,Non Transport,2026,16039.0
UK,Transport,2015,1.0
UK,Transport,2016,1058.0
UK,Transport,2017,3982.0
UK,Transport,2018,4552.0
UK,Transport,2019,5136.0
UK,Transport,2020,2131.0
UK,Transport,2021,3909.0
UK,Transport,2022,9423.0
UK,Transport,2023,10606.0
UK,Transport,2024,10999.0
UK,Transport,2025,10570.0
UK,Transport,2026,6680.0
UP,Non Transport,2011,625.0
UP,Non Transport,2012,392.0
UP,Non Transport,2013,202.0
UP,Non Transport,2014,148.0
UP,Non Transport,2015,1015.0
UP,Non Transport,2016,15123.0
UP,Non Transport,2017,39750.0
UP,Non Transport,2018,52035.0
UP,Non Transport,2019,54898.0
UP,Non Transport,2020,30952.0
UP,Non Transport,2021,66097.0
UP,Non Transport,2022,162441.0
UP,Non Transport,2023,278159.0
UP,Non Transport,2024,378348.0
UP,Non Transport,2025,422386.0
UP,Non Transport,2026,278995.0
UP,Transport,2011,2.0
UP,Transport,2012,2.0
UP,Transport,2013,0.0
UP,Transport,2014,8.0
UP,Transport,2015,927.0
UP,Transport,2016,15055.0
UP,Transport,2017,39444.0
UP,Transport,2018,49265.0
UP,Transport,2019,51183.0
UP,Transport,2020,29627.0
UP,Transport,2021,59865.0
UP,Transport,2022,138677.0
UP,Transport,2023,232725.0
UP,Transport,2024,267206.0
UP,Transport,2025,275388.0
UP,Transport,2026,163043.0
WB,Non Transport,2011,268.0
WB,Non Transport,2012,243.0
WB,Non Transport,2013,32.0
WB,Non Transport,2014,2.0
WB,Non Transport,2015,29.0
WB,Non Transport,2016,1528.0
WB,Non Transport,2017,4450.0
WB,Non Transport,2018,6724.0
WB,Non Transport,2019,13532.0
WB,Non Transport,2020,10079.0
WB,Non Transport,2021,6394.0
WB,Non Transport,2022,11140.0
WB,Non Transport,2023,21393.0
WB,Non Transport,2024,46562.0
WB,Non Transport,2025,102674.0
WB,Non Transport,2026,100964.0
WB,Transport,2011,1.0
WB,Transport,2012,18.0
WB,Transport,2013,11.0
WB,Transport,2014,0.0
WB,Transport,2015,12.0
WB,Transport,2016,1496.0
WB,Transport,2017,4432.0
WB,Transport,2018,6695.0
WB,Transport,2019,13259.0
WB,Transport,2020,9895.0
WB,Transport,2021,5165.0
WB,Transport,2022,1930.0
WB,Transport,2023,8141.0
WB,Transport,2024,20422.0
WB,Transport,2025,69651.0
WB,Transport,2026,72307.0
