State,VehicleType,Year,Registrations
ALL,All,2011,34292.0
ALL,All,2012,28347.0
ALL,All,2013,14446.0
ALL,All,2014,12423.0
ALL,All,2015,66465.0
ALL,All,2016,483486.0
ALL,All,2017,846583.0
ALL,All,2018,1197794.0
ALL,All,2019,1505853.0
ALL,All,2020,1092224.0
ALL,All,2021,2503742.0
ALL,All,2022,7038334.0
ALL,All,2023,10819355.0
ALL,All,2024,13887392.0
ALL,All,2025,16340525.0
ALL,All,2026,12575377.0
