State,Vehicle_Maker,EV_Registrations
RJ,Saera Electric Auto Pvt Ltd,5451
SK,Maruti Suzuki India Ltd,3
SK,Hyundai Motor India Ltd,1
TN,E Royce Motors India Pvt Ltd,6207
TN,Reep Industries Pvt Ltd,5930
TN,Mahindra Last Mile Mobility Ltd,3561
TN,Bajaj Auto Ltd,2803
TN,Saravana Engineering Works,2381
TS,Mahindra Last Mile Mobility Ltd,254140
TS,Yc Electric Vehicle,230172
TS,Bajaj Auto Ltd,204950
TS,Saera Electric Auto Pvt Ltd,135472
TS,Dilli Electric Auto Pvt Ltd,117210
TR,Bajaj Auto Ltd,10127
TR,Mahindra Last Mile Mobility Ltd,7657
TR,Piaggio Vehicles Pvt Ltd,4228
TR,Mahindra  Mahindra Limited,3036
TR,Vani Electric Vehicles Pvt Ltd,2607
UP,Yc Electric Vehicle,72260
UP,Bajaj Auto Ltd,63171
UP,Mahindra Last Mile Mobility Ltd,59961
UP,J. S. Auto (P) Ltd,46654
UP,Mini Metro Ev L.l.p,46422
UK,Yc Electric Vehicle,10025
UK,Mahindra Last Mile Mobility Ltd,5425
UK,U.p. Telelinks Limited,3919
UK,Dilli Electric Auto Pvt Ltd,3837
UK,Saera Electric Auto Pvt Ltd,3583
WB,Mahindra Last Mile Mobility Ltd,17068
WB,Zeniak Innovation India Ltd,16378
WB,Hooghly Motors Pvt Ltd,12117
WB,Jajodia Commodities Pvt Ltd,10999
WB,Big Bull Trader Pvt Ltd,9794
