State,VehicleType,EmissionStandard,RegistrationCount
DL,Non Transport,EURO 3,2408.0
DL,Non Transport,BHARAT STAGE IV,205.0
DL,Non Transport,BHARAT  TREM  STAGE III,50.0
DL,Non Transport,EURO 4,22.0
DL,Non Transport,BHARAT STAGE VI,18934.0
DN,Transport,BHARAT STAGE I,325.0
DN,Transport,BHARAT STAGE III  CEV,29.0
DN,Transport,TREM STAGE IV,27.0
DN,Transport,BHARAT STAGE III,3624.0
DN,Transport,BHARAT  TREM  STAGE III A,315.0
DN,Transport,BHARAT STAGE III/IV,249.0
DN,Transport,BHARAT  TREM  STAGE III B,5.0
DN,Transport,NOT AVAILABLE,3689520.0
DN,Transport,EURO 1,836.0
DN,Transport,EURO 2,4833.0
DN,Transport,BHARAT STAGE II,1357.0
DN,Transport,NOT APPLICABLE,121.0
DN,Transport,EURO 6,3.0
DN,Transport,EURO 3,6279.0
DN,Transport,CEV STAGE V,1.0
DN,Transport,BHARAT STAGE IV,22113.0
DN,Transport,EURO 4,1284.0
DN,Transport,BHARAT  TREM  STAGE III,475.0
DN,Transport,TREM STAGE V,2.0
DN,Transport,BHARAT STAGE VI,6985.0
DN,Non Transport,BHARAT STAGE I,389.0
DN,Non Transport,BHARAT STAGE III  CEV,145.0
DN,Non Transport,TREM STAGE IV,34.0
DN,Non Transport,CEV STAGE IV,10.0
DN,Non Transport,BHARAT STAGE III,7783.0
DN,Non Transport,BHARAT  TREM  STAGE III A,354.0
DN,Non Transport,BHARAT STAGE III/IV,262.0
DN,Non Transport,BHARAT  TREM  STAGE III B,5.0
DN,Non Transport,NOT AVAILABLE,9802503.0
DN,Non Transport,EURO 1,1100.0
DN,Non Transport,EURO 2,5872.0
DN,Non Transport,BHARAT STAGE II,2529.0
DN,Non Transport,NOT APPLICABLE,198.0
DN,Non Transport,EURO 6,27.0
DN,Non Transport,EURO 3,8015.0
DN,Non Transport,CEV STAGE V,10.0
DN,Non Transport,BHARAT STAGE IV,42089.0
DN,Non Transport,EURO 4,1486.0
DN,Non Transport,BHARAT  TREM  STAGE III,481.0
DN,Non Transport,TREM STAGE V,2.0
DN,Non Transport,BHARAT STAGE VI,241274.0
GA,Transport,NOT AVAILABLE,616.0
GA,Transport,BHARAT STAGE VI,133.0
GA,Non Transport,BHARAT STAGE IV,2.0
GA,Non Transport,BHARAT STAGE III,1.0
GA,Non Transport,NOT AVAILABLE,44859.0
GA,Non Transport,BHARAT STAGE VI,1046.0
GA,Non Transport,NOT APPLICABLE,1.0
GJ,Transport,EURO 3,27.0
GJ,Transport,EURO 4,54.0
GJ,Transport,NOT AVAILABLE,21060.0
GJ,Transport,EURO 1,4.0
GJ,Transport,BHARAT STAGE VI,77.0
GJ,Transport,EURO 2,2.0
GJ,Non Transport,BHARAT STAGE I,1.0
GJ,Non Transport,BHARAT STAGE III  CEV,112.0
GJ,Non Transport,BHARAT STAGE III,10.0
GJ,Non Transport,BHARAT STAGE III/IV,4.0
GJ,Non Transport,NOT AVAILABLE,393976.0
GJ,Non Transport,EURO 1,59.0
GJ,Non Transport,EURO 2,85.0
GJ,Non Transport,BHARAT STAGE II,63.0
GJ,Non Transport,NOT APPLICABLE,1.0
GJ,Non Transport,EURO 6,4.0
GJ,Non Transport,EURO 3,743.0
GJ,Non Transport,CEV STAGE V,8.0
GJ,Non Transport,EURO 4,114.0
GJ,Non Transport,BHARAT STAGE IV,17.0
GJ,Non Transport,BHARAT STAGE VI,18097.0
HR,Transport,EURO 3,43.0
HR,Transport,BHARAT STAGE IV,16015.0
HR,Transport,EURO 4,25.0
HR,Transport,BHARAT STAGE I,86.0
HR,Transport,TREM STAGE IV,9.0
HR,Transport,BHARAT STAGE III,1241.0
HR,Transport,BHARAT STAGE III/IV,35.0
HR,Transport,NOT AVAILABLE,88407.0
HR,Transport,EURO 1,3.0
HR,Transport,BHARAT STAGE VI,1445.0
HR,Transport,BHARAT STAGE II,338.0
HR,Non Transport,BHARAT STAGE I,91.0
HR,Non Transport,TREM STAGE IV,9.0
HR,Non Transport,BHARAT STAGE III,1451.0
HR,Non Transport,BHARAT STAGE III/IV,35.0
HR,Non Transport,NOT AVAILABLE,159928.0
HR,Non Transport,EURO 1,102.0
HR,Non Transport,EURO 2,22.0
HR,Non Transport,BHARAT STAGE II,343.0
HR,Non Transport,NOT APPLICABLE,1.0
HR,Non Transport,EURO 3,46.0
HR,Non Transport,BHARAT STAGE IV,22437.0
HR,Non Transport,EURO 4,38.0
HR,Non Transport,BHARAT STAGE VI,20412.0
HP,Transport,BHARAT STAGE III,1.0
HP,Transport,NOT AVAILABLE,1133.0
HP,Transport,BHARAT STAGE VI,30.0
HP,Non Transport,BHARAT STAGE IV,1.0
HP,Non Transport,BHARAT STAGE I,1.0
HP,Non Transport,BHARAT STAGE III  CEV,1.0
HP,Non Transport,BHARAT STAGE III,2.0
HP,Non Transport,NOT AVAILABLE,8005.0
HP,Non Transport,BHARAT STAGE VI,1535.0
JH,Transport,BHARAT STAGE IV,15.0
JH,Transport,BHARAT  TREM  STAGE III,1.0
JH,Transport,TREM STAGE IV,1.0
JH,Transport,BHARAT STAGE III,55.0
JH,Transport,BHARAT STAGE III/IV,27.0
JH,Transport,NOT AVAILABLE,81087.0
JH,Transport,BHARAT STAGE VI,4.0
