State,VehicleType,FuelType,Count
LA,Non Transport,ELECTRIC(BOV),94.0
LA,Non Transport,PURE EV,6.0
LA,Non Transport,STRONG HYBRID EV,12.0
LD,Transport,ELECTRIC(BOV),8.0
LD,Transport,PURE EV,5.0
LD,Non Transport,ELECTRIC(BOV),110.0
LD,Non Transport,PURE EV,78.0
MP,Transport,ELECTRIC(BOV),116321.0
MP,Transport,PURE EV,32601.0
MP,Transport,STRONG HYBRID EV,76.0
MP,Non Transport,ELECTRIC(BOV),232337.0
MP,Non Transport,PURE EV,249615.0
MP,Non Transport,STRONG HYBRID EV,3891.0
MH,Transport,ELECTRIC(BOV),58740.0
MH,Transport,PURE EV,22314.0
MH,Transport,STRONG HYBRID EV,1119.0
MH,Non Transport,ELECTRIC(BOV),585730.0
MH,Non Transport,PLUG-IN HYBRID EV,32.0
MH,Non Transport,PURE EV,525053.0
MH,Non Transport,STRONG HYBRID EV,34874.0
MN,Transport,ELECTRIC(BOV),1765.0
MN,Transport,PURE EV,823.0
MN,Non Transport,ELECTRIC(BOV),2430.0
MN,Non Transport,PURE EV,1592.0
MN,Non Transport,STRONG HYBRID EV,91.0
ML,Transport,ELECTRIC(BOV),1269.0
ML,Transport,PURE EV,336.0
ML,Transport,STRONG HYBRID EV,1.0
ML,Non Transport,ELECTRIC(BOV),1798.0
ML,Non Transport,PURE EV,690.0
ML,Non Transport,STRONG HYBRID EV,175.0
MZ,Transport,ELECTRIC(BOV),2.0
MZ,Transport,STRONG HYBRID EV,2.0
MZ,Non Transport,ELECTRIC(BOV),1776.0
MZ,Non Transport,PURE EV,626.0
MZ,Non Transport,STRONG HYBRID EV,55.0
NL,Transport,ELECTRIC(BOV),8.0
NL,Transport,STRONG HYBRID EV,1.0
NL,Non Transport,ELECTRIC(BOV),68.0
NL,Non Transport,PURE EV,46.0
NL,Non Transport,STRONG HYBRID EV,149.0
OD,Transport,ELECTRIC(BOV),3038934.0
OD,Transport,PURE EV,690157.0
OD,Transport,STRONG HYBRID EV,4939.0
OD,Non Transport,ELECTRIC(BOV),6226593.0
OD,Non Transport,PLUG-IN HYBRID EV,131.0
OD,Non Transport,PURE EV,3638823.0
OD,Non Transport,STRONG HYBRID EV,236915.0
PY,Transport,ELECTRIC(BOV),729.0
PY,Transport,PURE EV,652.0
PY,Transport,STRONG HYBRID EV,74.0
PY,Non Transport,ELECTRIC(BOV),9327.0
PY,Non Transport,PLUG-IN HYBRID EV,5.0
PY,Non Transport,PURE EV,9439.0
PY,Non Transport,STRONG HYBRID EV,1041.0
PB,Transport,ELECTRIC(BOV),63211.0
PB,Transport,PURE EV,9192.0
PB,Transport,STRONG HYBRID EV,217.0
PB,Non Transport,ELECTRIC(BOV),98177.0
PB,Non Transport,PLUG-IN HYBRID EV,1.0
PB,Non Transport,PURE EV,74616.0
PB,Non Transport,STRONG HYBRID EV,10554.0
RJ,Transport,ELECTRIC(BOV),128559.0
RJ,Transport,PURE EV,22006.0
RJ,Transport,STRONG HYBRID EV,175.0
RJ,Non Transport,ELECTRIC(BOV),330707.0
RJ,Non Transport,PURE EV,212436.0
RJ,Non Transport,STRONG HYBRID EV,6633.0
SK,Transport,ELECTRIC(BOV),4.0
SK,Non Transport,ELECTRIC(BOV),24.0
SK,Non Transport,PURE EV,13.0
SK,Non Transport,STRONG HYBRID EV,34.0
TN,Transport,ELECTRIC(BOV),31938.0
TN,Transport,PURE EV,14991.0
TN,Transport,STRONG HYBRID EV,140.0
TN,Non Transport,ELECTRIC(BOV),343892.0
TN,Non Transport,PLUG-IN HYBRID EV,8.0
TN,Non Transport,PURE EV,319599.0
TN,Non Transport,STRONG HYBRID EV,17638.0
TS,Transport,ELECTRIC(BOV),3038934.0
TS,Transport,PURE EV,690157.0
TS,Transport,STRONG HYBRID EV,4939.0
TS,Non Transport,ELECTRIC(BOV),6226593.0
TS,Non Transport,PLUG-IN HYBRID EV,131.0
TS,Non Transport,PURE EV,3638823.0
TS,Non Transport,STRONG HYBRID EV,236915.0
TR,Transport,ELECTRIC(BOV),32856.0
TR,Transport,PURE EV,8569.0
TR,Non Transport,ELECTRIC(BOV),33867.0
TR,Non Transport,PURE EV,9523.0
TR,Non Transport,STRONG HYBRID EV,54.0
UP,Transport,ELECTRIC(BOV),1118389.0
UP,Transport,PURE EV,203997.0
UP,Transport,STRONG HYBRID EV,34.0
UP,Non Transport,ELECTRIC(BOV),1271701.0
UP,Non Transport,PLUG-IN HYBRID EV,27.0
UP,Non Transport,PURE EV,477952.0
UP,Non Transport,STRONG HYBRID EV,32196.0
UK,Transport,ELECTRIC(BOV),59794.0
UK,Transport,PURE EV,9216.0
UK,Transport,STRONG HYBRID EV,37.0
UK,Non Transport,ELECTRIC(BOV),81254.0
UK,Non Transport,PURE EV,29514.0
UK,Non Transport,STRONG HYBRID EV,1927.0
WB,Transport,ELECTRIC(BOV),165870.0
WB,Transport,PURE EV,47473.0
WB,Transport,STRONG HYBRID EV,94.0
WB,Non Transport,ELECTRIC(BOV),211323.0
WB,Non Transport,PLUG-IN HYBRID EV,5.0
WB,Non Transport,PURE EV,110837.0
WB,Non Transport,STRONG HYBRID EV,3968.0
